Key,Name,Hex
color.blue,Clear Day,#E9FFFD
color.orange,Clementine,#E96E00
color.brown,Clinker,#371D09
color.grey,Cloud,#C7C4BF
color.blue,Cloud Burst,#202E54
color.green,Clover,#384910
color.blue,Cobalt,#030AA7
color.blue,Cobalt Blue,#0047AB
color.brown,Coca Mocha,#BD9B8B
color.brown,Cocoa Brown,#D2691E
color.brown,Coconut,#965A3E
color.brown,Coffee,#6F4E37
color.brown,Coffee Bean,#2A140E
color.brown,Cognac,#9F381D
color.brown,Cola,#3F2500
color.purple,Cold Purple,#ABA0D9
color.white,Colonial White,#FFEDBC
color.blue,Columbia Blue,#9BDDFF
color.grey,Comet,#5C5D75
color.green,Como,#517C66
color.grey,Conch,#C9D9D2
color.grey,Concord,#7C7B7A
color.grey,Concrete,#F2F2F2
color.yellow,Confetti,#E9D75A
color.brown,Congo Brown,#593737
color.blue,Congress Blue,#02478E
color.green,Conifer,#ACDD4D
color.pink,Contessa,#C6726B
color.orange,Cool Copper,#D98719
color.grey,Cool Grey,#8C92AC
color.brown,Copper,#B87333
color.brown,Copper Canyon,#7E3A15
color.pink,Copper Rose,#996666
color.brown,Copper Rust,#944747
color.red,Coquelicot,#FF3800
color.orange,Coral,#FF7F50
color.red,Coral Red,#FF4040
color.red,Cordovan,#893F45
color.green,Coriander,#C4D0B0
color.brown,Cork,#40291D
color.yellow,Corn,#FBEC5D
color.yellow,Corn Field,#F8FACD
color.white,Cornflower,#F2EFE8
color.blue,Cornflower Blue,#6495ED
color.yellow,Cornsilk,#FFF8DC
color.white,Cosmic Latte,#FFF8E7
color.pink,Cotton Candy,#FFBCD9
color.grey,Cotton Seed,#C2BDB6
color.green,County Green,#01371A
color.brown,Cowboy,#4D282D
color.brown,Coyote Brown,#81613C
color.red,Cranberry,#DB5079
color.brown,Crater Brown,#462425
color.white,Cream,#FFFDD0
color.yellow,Cream Can,#F5C85C
color.white,Creamy,#F5D2D3
color.brown,Creole,#1E0F04
color.green,Crete,#737829
color.red,Crimson,#DC143C
color.red,Crimson Red,#990000
color.green,Crocodile,#736D58
color.red,Crown of Thorns,#771F1F
color.black,Crowshead,#1C1208
color.blue,Cruise,#B5ECDF
color.green,Crusoe,#004816
color.orange,Crusta,#FD7B33
color.brown,Cumin,#924321
color.pink,Cupid,#FBAED2
color.blue,Curious Blue,#2596D1
color.green,Cutty Sark,#507672
color.blue,Cyan,#00FFFF
color.blue,Cyan Blue,#00B7EB
color.green,Cypress,#545A2C
color.yellow,Daffodil,#FFFF31
color.blue,Daintree,#012731
color.yellow,Dairy Cream,#F9E4BC
color.purple,Daisy Bush,#4F2398
color.brown,Dallas,#6E4B26
color.purple,Dancing Script,#E8DAEE
color.yellow,Dandelion,#F0E130
color.yellow,Dandelion Yellow,#FED85D
color.blue,Danube,#6093D1
color.blue,Dark Blue,#00008B
color.blue,Dark Blue Gray,#666699
color.brown,Dark Bronze,#804A00
color.brown,Dark Brown,#654321
color.brown,Dark Brown Tangelo,#88654E
color.red,Dark Candy Apple Red,#A40000
color.blue,Dark Cerulean,#08457E
color.brown,Dark Chestnut,#986960
color.orange,Dark Coral,#CD5B45
color.blue,Dark Cyan,#008B8B
color.green,Dark Emerald,#008A00
color.green,Dark Fern,#0A6906
color.purple,Dark Fuchsia,#9D02D7
color.yellow,Dark Gold,#AA6C39
color.yellow,Dark Goldenrod,#B8860B
color.grey,Dark Gray,#A9A9A9
color.green,Dark Green,#006400
color.yellow,Dark Khaki,#BDB76B
color.purple,Dark Magenta,#8B008B
color.green,Dark Olive Green,#556B2F
color.orange,Dark Orange,#FF8C00
color.purple,Dark Orchid,#9932CC
color.red,Dark Red,#8B0000
color.orange,Dark Salmon,#E9967A
color.green,Dark Sea Green,#8FBC8F
color.blue,Dark Slate Blue,#483D8B
color.grey,Dark Slate Gray,#2F4F4F
color.blue,Dark Turquoise,#00CED1
color.purple,Dark Violet,#9400D3
color.pink,Deep Pink,#FF1493
color.blue,Deep Sky Blue,#00BFFF
color.grey,Dim Gray,#696969
color.blue,Dodger Blue,#1E90FF
color.brown,Ecru,#C2B280
color.purple,Eggplant,#614051
color.white,Eggshell,#F0EAD6
color.blue,Electric Blue,#7DF9FF
color.green,Emerald,#50C878
color.purple,Eminence,#6C3082
color.red,English Red,#AB4B52
color.purple,English Violet,#563C5C
color.green,Erin,#00FF40
color.green,Eton Blue,#96C8A2
color.red,Falu Red,#801818
color.purple,Fandango,#B53389
color.brown,Fawn,#E5AA70
color.green,Fern Green,#4F7942
color.brown,Field Drab,#6C541E
color.red,Fire Engine Red,#CE2029
color.red,Firebrick,#B22222
color.orange,Flame,#E25822
color.yellow,Flavescent,#F7E98E
color.yellow,Flax,#EEDC82
color.white,Floral White,#FFFAF0
color.green,Forest Green,#228B22
color.brown,French Beige,#A67B5B
color.blue,French Blue,#0072BB
color.purple,French Lilac,#86608E
color.pink,French Rose,#F64A8A
color.purple,Fuchsia,#FF00FF
color.orange,Fulvous,#E48400
color.grey,Gainsboro,#DCDCDC
color.yellow,Gamboge,#E49B0F
color.red,Garnet,#733635
color.white,Ghost White,#F8F8FF
color.blue,Glaucous,#6082B6
color.yellow,Gold,#FFD700
color.brown,Golden Brown,#996515
color.yellow,Goldenrod,#DAA520
color.grey,Gray,#808080
color.green,Green,#008000
color.green,Green Yellow,#ADFF2F
color.green,Harlequin,#3FFF00
color.purple,Heliotrope,#DF73FF
color.pink,Hollywood Cerise,#F400A1
color.white,Honeydew,#F0FFF0
color.pink,Hot Pink,#FF69B4
color.green,Hunter Green,#355E3B
color.blue,Iceberg,#71A6D2
color.yellow,Icterine,#FCF75E
color.green,Illuminating Emerald,#319177
color.red,Imperial Red,#ED2939
color.green,Inchworm,#B2EC5D
color.grey,Independence,#4C516D
color.green,India Green,#138808
color.red,Indian Red,#CD5C5C
color.yellow,Indian Yellow,#E3A857
color.purple,Indigo,#4B0082
color.purple,Iris,#5A4FCF
color.pink,Irresistible,#B3446C
color.white,Isabelline,#F4F0EC
color.white,Ivory,#FFFFF0
color.green,Jade,#00A86B
color.red,Japanese Carmine,#9D2933
color.blue,Japanese Indigo,#264348
color.purple,Japanese Violet,#5B3256
color.yellow,Jasmine,#F8DE7E
color.red,Jasper,#D73B3E
color.black,Jet,#343434
color.yellow,Jonquil,#F4CA16
color.green,June Bud,#BDDA57
color.green,Jungle Green,#29AB87
color.green,Kelly Green,#4CBB17
color.green,Keppel,#3AB09E
color.green,Key Lime,#E8F48C
color.yellow,Khaki,#C3B091
color.red,Kobe,#882D17
color.pink,Kobi,#E79FC4
color.brown,Kobicha,#6B4423
color.green,Kombu Green,#354230
color.purple,KSU Purple,#512888
color.red,KU Crimson,#E8000D
color.blue,Lapis Lazuli,#26619C
color.purple,Lavender,#E6E6FA
color.pink,Lavender Blush,#FFF0F5
color.green,Lawn Green,#7CFC00
color.yellow,Lemon,#FFF700
color.yellow,Lemon Chiffon,#FFFACD
color.blue,Light Blue,#ADD8E6
color.pink,Light Coral,#F08080
color.blue,Light Cyan,#E0FFFF
color.yellow,Light Goldenrod Yellow,#FAFAD2
color.grey,Light Gray,#D3D3D3
color.green,Light Green,#90EE90
color.pink,Light Pink,#FFB6C1
color.orange,Light Salmon,#FFA07A
color.green,Light Sea Green,#20B2AA
color.blue,Light Sky Blue,#87CEFA
color.grey,Light Slate Gray,#778899
color.blue,Light Steel Blue,#B0C4DE
color.yellow,Light Yellow,#FFFFE0
color.purple,Lilac,#C8A2C8
color.green,Lime,#00FF00
color.green,Lime Green,#32CD32
color.white,Linen,#FAF0E6
color.brown,Liver,#534B4F
color.orange,Macaroni and Cheese,#FFBD88
color.purple,Magenta,#FF00FF
color.green,Magic Mint,#AAF0D1
color.white,Magnolia,#F8F4FF
color.brown,Mahogany,#C04000
color.yellow,Maize,#FBEC5D
color.green,Malachite,#0BDA51
color.orange,Mandarin,#F37A48
color.orange,Mango Tango,#FF8243
color.green,Mantis,#74C365
color.red,Maroon,#800000
color.purple,Mauve,#E0B0FF
color.brown,Meat Brown,#E5B73B
color.pink,Melon,#FDBCB4
color.blue,Midnight Blue,#191970
color.green,Mint,#3EB489
color.white,Mint Cream,#F5FFFA
color.pink,Misty Rose,#FFE4E1
color.brown,Moccasin,#FFE4B5
color.green,Moss Green,#8A9A5B
color.green,Mountain Meadow,#30BA8F
color.purple,Mulberry,#C54B8C
color.yellow,Mustard,#FFDB58
color.green,Myrtle Green,#317873
color.yellow,Naples Yellow,#FADA5E
color.brown,Navajo White,#FFDEAD
color.blue,Navy,#000080
color.blue,Neon Blue,#4D4DFF
color.green,Neon Green,#39FF14
color.blue,New Car,#214FC6
color.grey,Nickel,#727472
color.blue,Non-Photo Blue,#A4DDED
color.green,Nyanza,#E9FFDB
color.blue,Ocean Blue,#4F42B5
color.brown,Ochre,#CC7722
color.green,Office Green,#008000
color.red,Old Burgundy,#43302E
color.yellow,Old Gold,#CFB53B
color.white,Old Lace,#FDF5E6
color.purple,Old Lavender,#796878
color.pink,Old Rose,#C08081
color.grey,Old Silver,#848482
color.green,Olive,#808000
color.green,Olive Drab,#6B8E23
color.green,Olivine,#9AB973
color.black,Onyx,#353839
color.green,Opal,#A8C3BC
color.purple,Opera Mauve,#B784A7
color.orange,Orange,#FFA500
color.orange,Orange Peel,#FF9F00
color.red,Orange Red,#FF4500
color.purple,Orchid,#DA70D6
color.grey,Outer Space,#414A4C
color.orange,Outrageous Orange,#FF6E4A
color.blue,Oxford Blue,#002147
color.blue,Pacific Blue,#1CA9C9
color.green,Pakistan Green,#006600
color.purple,Palatinate Purple,#682860
color.blue,Pale Aqua,#BCD4E6
color.blue,Pale Blue,#AFEEEE
color.brown,Pale Brown,#987654
color.red,Pale Carmine,#AF4035
color.blue,Pale Cerulean,#9BC4E2
color.brown,Pale Chestnut,#DDADAF
color.brown,Pale Copper,#DA8A67
color.blue,Pale Cornflower Blue,#ABCDEF
color.blue,Pale Cyan,#87D3F8
color.yellow,Pale Gold,#E6BE8A
color.yellow,Pale Goldenrod,#EEE8AA
color.green,Pale Green,#98FB98
color.purple,Pale Lavender,#DDA0DD
color.purple,Pale Magenta,#F984E5
color.pink,Pale Pink,#FADADD
color.purple,Pale Plum,#DDA0DD
color.purple,Pale Red Violet,#DB7093
color.green,Pale Spring Bud,#ECEBBD
color.brown,Pale Taupe,#BC987E
color.purple,Pale Violet,#CC99FF
color.purple,Pansy Purple,#78184A
color.yellow,Papaya Whip,#FFEFD5
color.pink,Paradise Pink,#E62020
color.green,Paris Green,#50C878
color.blue,Pastel Blue,#AEC6CF
color.brown,Pastel Brown,#836953
color.grey,Pastel Gray,#CFCFC4
color.green,Pastel Green,#77DD77
color.purple,Pastel Magenta,#F49AC2
color.orange,Pastel Orange,#FFB347
color.pink,Pastel Pink,#DEA5A4
color.purple,Pastel Purple,#B39EB5
color.red,Pastel Red,#FF6961
color.yellow,Pastel Yellow,#FDFD96
color.purple,Patriarch,#800080
color.grey,Payne's Gray,#536872
color.orange,Peach,#FFE5B4
color.orange,Peach Puff,#FFDAB9
color.green,Pear,#D1E231
color.white,Pearl,#EAE0C8
color.green,Pearl Aqua,#88D8C0
color.purple,Pearly Purple,#B768A2
color.green,Peridot,#E6E200
color.purple,Periwinkle,#CCCCFF
color.blue,Persian Blue,#1C39BB
color.green,Persian Green,#00A693
color.purple,Persian Indigo,#32127A
color.orange,Persian Orange,#D99058
color.pink,Persian Pink,#F77FBE
color.red,Persian Plum,#701C1C
color.red,Persian Red,#CC3333
color.pink,Persian Rose,#FE28A2
color.orange,Persimmon,#EC5800
color.brown,Peru,#CD853F
color.purple,Phlox,#DF00FF
color.blue,Phthalo Blue,#000F89
color.green,Phthalo Green,#123524
color.green,Pine Green,#01796F
color.pink,Pink,#FFC0CB
color.pink,Pink Lace,#FFDDF4
color.pink,Pink Pearl,#E7ACCF
color.pink,Pink Sherbet,#F78FA7
color.green,Pistachio,#93C572
color.grey,Platinum,#E5E4E2
color.purple,Plum,#DDA0DD
color.red,Popstar,#BE4F62
color.orange,Portland Orange,#FF5A36
color.blue,Powder Blue,#B0E0E6
color.orange,Princeton Orange,#F58025
color.purple,Prune,#701C1C
color.blue,Prussian Blue,#003153
color.purple,Psychedelic Purple,#DF00FF
color.red,Puce,#CC8899
color.orange,Pumpkin,#FF7518
color.purple,Purple,#800080
color.purple,Purple Heart,#69359C
color.purple,Purple Mountain Majesty,#9678B6
color.purple,Purple Navy,#4E5180
color.purple,Purple Pizzazz,#FE4EDA
color.purple,Purple Plum,#9C51B6
color.purple,Purpureus,#9A4EAE
color.blue,Queen Blue,#436B95
color.pink,Queen Pink,#E8CCD7
color.grey,Quick Silver,#A6A6A6
color.purple,Quinacridone Magenta,#8E3A59
color.blue,Rackley,#5D8AA8
color.red,Radical Red,#FF355E
color.black,Raisin Black,#242124
color.orange,Rajah,#FBAB60
color.red,Raspberry,#E30B5D
color.purple,Raspberry Glace,#915F6D
color.pink,Raspberry Pink,#E25098
color.pink,Raspberry Rose,#B3446C
color.brown,Raw Sienna,#D68A59
color.brown,Raw Umber,#826644
color.pink,Razzle Dazzle Rose,#FF33CC
color.red,Razzmatazz,#E3256B
color.purple,Razzmic Berry,#8D4E85
color.purple,Rebecca Purple,#663399
color.red,Red,#FF0000
color.orange,Red Orange,#FF5349
color.purple,Red Purple,#E40078
color.purple,Red Violet,#C71585
color.red,Redwood,#A45A52
color.blue,Resolution Blue,#002387
color.purple,Rhythm,#777696
color.black,Rich Black,#004040
color.red,Rich Carmine,#D70040
color.blue,Rich Electric Blue,#0892D0
color.purple,Rich Lavender,#A76BCF
color.purple,Rich Lilac,#B666D2
color.red,Rich Maroon,#B03060
color.green,Rifle Green,#444C38
color.brown,Roast Coffee,#704241
color.blue,Robin Egg Blue,#00CCCC
color.grey,Rocket Metallic,#8A7F80
color.grey,Roman Silver,#838996
color.pink,Rose,#FF007F
color.pink,Rose Bonbon,#F9429E
color.pink,Rose Dust,#9E5E6F
color.brown,Rose Ebony,#674846
color.pink,Rose Gold,#B76E79
color.red,Rose Madder,#E32636
color.pink,Rose Pink,#FF66CC
color.pink,Rose Quartz,#AA98A9
color.red,Rose Red,#C21E56
color.red,Rose Taupe,#905D5D
color.red,Rose Vale,#AB4E52
color.red,Rosewood,#65000B
color.red,Rosso Corsa,#D40000
color.brown,Rosy Brown,#BC8F8F
color.blue,Royal Azure,#0038A8
color.blue,Royal Blue,#4169E1
color.purple,Royal Fuchsia,#CA2C92
color.purple,Royal Purple,#7851A9
color.red,Ruby,#E0115F
color.red,Ruby Red,#9B111E
color.red,Rufous,#A81C07
color.brown,Russet,#80461B
color.green,Russian Green,#679267
color.purple,Russian Violet,#32174D
color.red,Rust,#B7410E
color.red,Rusty Red,#DA2C43
color.green,Sacramento State Green,#00563F
color.brown,Saddle Brown,#8B4513
color.orange,Safety Orange,#FF7800
color.yellow,Safety Yellow,#EED202
color.yellow,Saffron,#F4C430
color.green,Sage,#BCB88A
color.orange,Salmon,#FA8072
color.pink,Salmon Pink,#FF91A4
color.brown,Sand,#C2B280
color.yellow,Sandstorm,#ECD540
color.brown,Sandy Brown,#F4A460
color.red,Sangria,#92000A
color.green,Sap Green,#507D2A
color.blue,Sapphire,#0F52BA
color.blue,Sapphire Blue,#0067A5
color.yellow,Satin Sheen Gold,#CBA135
color.red,Scarlet,#FF2400
color.pink,Schauss Pink,#FF91AF
color.yellow,School Bus Yellow,#FFD800
color.blue,Sea Blue,#006994
color.green,Sea Green,#2E8B57
color.white,Seashell,#FFF5EE
color.yellow,Selective Yellow,#FFBA00
color.brown,Sepia,#704214
color.brown,Shadow,#8A795D
color.blue,Shadow Blue,#778BA5
color.green,Shamrock Green,#009E60
color.green,Sheen Green,#8FD400
color.pink,Shimmering Blush,#D98695
color.green,Shiny Shamrock,#5FA778
color.pink,Shocking Pink,#FC0FC0
color.brown,Sienna,#882D17
color.grey,Silver,#C0C0C0
color.grey,Silver Chalice,#ACACAC
color.pink,Silver Pink,#C4AEAD
color.grey,Silver Sand,#BFC1C2
color.red,Sinopia,#CB410B
color.green,Skobeloff,#007474
color.blue,Sky Blue,#87CEEB
color.purple,Sky Magenta,#CF71AF
color.blue,Slate Blue,#6A5ACD
color.grey,Slate Gray,#708090
color.purple,Smitten,#C84186
color.grey,Smoke,#738276
color.red,Smokey Topaz,#832A0D
color.black,Smoky Black,#100C08
color.white,Snow,#FFFAFA
color.pink,Solid Pink,#893843
color.grey,Sonic Silver,#757575
color.blue,Space Cadet,#1D2951
color.brown,Spanish Bistre,#807532
color.blue,Spanish Blue,#0070B8
color.red,Spanish Carmine,#D10047
color.red,Spanish Crimson,#E51A4C
color.grey,Spanish Gray,#989898
color.green,Spanish Green,#009150
color.orange,Spanish Orange,#E86100
color.pink,Spanish Pink,#F7BFBE
color.red,Spanish Red,#E60026
color.purple,Spanish Violet,#4C2882
